"*ContactName","EmailAddress","POAddressLine1","POAddressLine2","POAddressLine3","POAddressLine4","POCity","PORegion","POPostalCode","POCountry","*InvoiceNumber","Reference","*InvoiceDate","*DueDate","Total","InventoryCode","*Description","*Quantity","*UnitAmount","Discount","*AccountCode","*TaxType","TaxAmount"
"Hermes Real Estate Investment Management Limited","","","","","","","","","","4408-16052019-5978","Hermes Real Estate Debt Fund GP Ltd"," 2019-05-27"," 2019-05-27","","","Hermes Real Estate Debt Fund GP Ltd","1","255.6","","200","20% (VAT on income)",""
"BTPSM","","","","","","","","","","4412-20052019-5991","Britel Scotland GP II Limited"," 2019-05-29"," 2019-05-29","","","Britel Scotland GP II Limited","1","170.4","","200","20% (VAT on income)",""
"BTPSM","","","","","","","","","","4413-20052019-5992","BRITEL SCOTLAND GP LIMITED"," 2019-05-29"," 2019-05-29","","","BRITEL SCOTLAND GP LIMITED","1","170.4","","200","20% (VAT on income)",""
"Hermes Finance","","","","","","","","","","4414-20052019-5993","Hermes Equity Ownership Services Limited"," 2019-05-29"," 2019-05-29","","","Hermes Equity Ownership Services Limited","1","294","","200","20% (VAT on income)",""
"Hermes Finance","","","","","","","","","","4415-20052019-5994","Hermes European Equities Ltd"," 2019-05-29"," 2019-05-29","","","Hermes European Equities Ltd","1","294","","200","20% (VAT on income)",""
"Hermes Finance","","","","","","","","","","4416-20052019-5995","Hermes Real Estate Investment Management Limited"," 2019-05-29"," 2019-05-29","","","Hermes Real Estate Investment Management Limited","1","294","","200","20% (VAT on income)",""
"4D Pharma plc","","","","","","","","","","4425-31052019-6020","2018 4D plc accounts"," 2019-06-11"," 2019-06-11","","","2018 4D plc accounts","1","720","","200","20% (VAT on income)",""
"Hermes Real Estate Investment Management Limited","","","","","","","","","","4453-11062019-6102","Aldgate House General Partner Limited"," 2019-06-14"," 2019-06-14","","","Aldgate House General Partner Limited","1","362.1","","200","20% (VAT on income)",""
"Cordium Accounting Ltd ","","","","","","","","","","4455-11062019-6105","The Investment Company PLC"," 2019-06-20"," 2019-06-20","","","The Investment Company PLC","1","760","","200","20% (VAT on income)",""
"McKelvie & Co","","","","","","","","","","4467-12062019-6118","ACPL (Nominees) 2 Limited"," 2019-06-21"," 2019-06-21","","","ACPL (Nominees) 2 Limited","1","360","","200","20% (VAT on income)",""
